AREA,BFIHOST,LDP,PROPWET,RMED-1D,SAAR,Index flood
1844.19,0.448,78.34,0.62,35,1288,574.8425
291.9,0.4,28.76,0.69,42,1334,180.223
64.57,0.394,19.24,0.62,55.6,1723,60.718
708,0.476,79.98,0.29,31.1,632,37.004
258.42,0.399,42.19,0.49,40.2,1231,100.477
74.22,0.629,15.32,0.35,37.4,911,11.4345
219.24,0.454,39.75,0.65,41.7,1484,117.687
136.69,0.469,30.29,0.3,31.7,625,11.798
415.59,0.451,50.96,0.68,39.4,1217,248.084
749.9,0.298,60.11,0.6,38.3,1147,469.699
120.54,0.568,30.76,0.53,36.9,975,20.461
84.62,0.532,25.06,0.37,31.1,715,9.631
283.47,0.385,38.62,0.62,39.3,1151,67.482
54.47,0.338,19.53,0.52,35.8,991,36.683
571.36,0.509,79.29,0.25,27.7,580,27.452
305.19,0.622,34.55,0.34,33,804,36.405
28.99,0.443,14.2,0.6,40.2,1183,15.934
170.94,0.365,33.33,0.53,34.6,995,48.522
48.51,0.906,17.72,0.24,29.9,686,1.129
25.26,0.499,12.54,0.45,44.2,1445,9.565
74.95,0.276,16.74,0.28,31.8,575,7.126
53.51,0.955,12.35,0.34,32.8,770,1.076
181.9,0.537,28.01,0.44,43.8,1437,81.849
92.96,0.321,29.76,0.35,36.1,812,29.826
2026.73,0.47,121.61,0.5,38.9,1147,285.066
111.18,0.352,21.23,0.55,60.5,1858,96.308
497.61,0.381,60.77,0.61,41,1123,335.6595
618.21,0.474,62.7,0.66,41,1142,248.095
182.4,0.567,29.92,0.53,35.4,955,31.6225
258.14,0.33,42.42,0.6,50.9,1602,225.574
202.93,0.427,34.67,0.45,35.8,758,61.86
304.96,0.587,58.04,0.5,35.7,942,95.83
184.74,0.477,24.81,0.62,59.6,1674,159.2635
102.42,0.479,18.95,0.33,35.7,837,15.227
21.87,0.302,16.21,0.45,40.5,1056,14.563499
132.96,0.468,26.36,0.31,28.5,588,12.919
209.94,0.555,33.98,0.45,42.9,1338,70.447
243.54,0.492,32.46,0.61,36.6,1205,59.699
204.71,0.388,33.39,0.35,36.6,857,36.558
98.48,0.428,22.53,0.59,52.5,1900,147.55551
1569.29,0.575,94.38,0.34,34.3,817,167.223
427.14,0.699,62.55,0.32,33.1,691,25.7
193.51,0.645,37.58,0.34,28.9,719,11.2225
240.98,0.476,35.19,0.51,40.6,1274,78.168
29.38,0.367,14.28,0.52,36.6,1079,22.4605
33.62,0.623,9.42,0.42,39.3,1161,5.3075
88.25,0.625,19.69,0.35,35.8,851,12.157
205.45,0.531,42.61,0.44,36.2,930,51.535
72.12,0.598,25.54,0.31,28.6,649,2.971
156.2,0.406,30.8,0.69,57.4,1828,100.983
32.43,0.949,13.34,0.31,33.2,721,0.784
67.62,0.691,26.18,0.4,33.8,834,14.407
7.17,0.398,4.6,0.5,37.1,1150,7.627
141.9,0.572,35.42,0.36,37.9,887,36.146
63.71,0.485,19.83,0.63,48.9,1489,29.21
1092.13,0.478,90.61,0.59,49.8,1534,312.826
181.88,0.435,46.15,0.66,52.3,1756,109.671
