AREA,BFIHOST,LDP,PROPWET,SAAR,Index flood
37.38,0.362,13.8,0.79,2766,59.9645
325.71,0.522,41.23,0.4,812,45.9765
195.45,0.562,26.55,0.53,870,21.744
51.56,0.404,13.29,0.56,2056,40.380997
331.64,0.359,31.14,0.81,1896,342.057
136.34,0.442,23.09,0.44,976,27.9975
1049.61,0.311,69.1,0.5,1013,440.64
792.65,0.573,102.52,0.55,916,112.720505
10.94,0.338,10.72,0.22,591,2.6455
172.17,0.423,37.71,0.59,1636,114.795
341.76,0.363,32.35,0.7,2040,378.99548
11.46,0.227,6.03,0.64,1904,15.09
88.59,0.4,24.07,0.59,1003,29.739
1090.83,0.478,89.91,0.59,1535,378.803
502.24,0.518,57.21,0.35,814,117.71
173.94,0.391,48.39,0.58,926,51.665
55.97,0.393,13.52,0.72,1670,77.673
621.52,0.513,64.6,0.34,732,46.449997
1594.22,0.608,99.11,0.34,765,80.4105
184.23,0.482,28.56,0.52,1152,48.267
79.4,0.481,20.37,0.48,1618,45.324997
85.63,0.402,22.77,0.26,598,8.1345005
123.5,0.761,26.22,0.27,646,6.552
58.16,0.523,13.64,0.25,560,4.628
182.48,0.494,29.83,0.35,835,32.242
92.74,0.403,31.53,0.31,598,10.6
84.62,0.872,24.12,0.34,744,5.594
783.72,0.51,71.45,0.59,1404,250.242
68,0.974,21.79,0.35,807,3.715
63.78,0.404,18.61,0.3,588,8.502
232.41,0.443,41.66,0.7,1347,80.669
75.85,0.952,25.22,0.34,896,2.889
897.26,0.507,109.03,0.52,1379,215.506
510.02,0.425,54.43,0.71,1652,441.99402
579.08,0.33,69.54,0.62,1212,248.945
778.96,0.439,66.61,0.51,1339,262.16998
278.05,0.353,36.97,0.34,691,42.098503
444.8,0.505,54.2,0.53,988,129.252
50.97,0.455,16.1,0.35,852,13.606501
1269.46,0.584,127.35,0.52,884,136.246
38.59,0.421,11.98,0.72,1740,60.364
2852.4,0.485,162.33,0.63,1119,472.093
36.7,0.588,12.13,0.38,1151,6.12
263.63,0.577,30.57,0.46,909,72.6325
137.79,0.527,23.72,0.37,866,36.2005
108.14,0.883,24.19,0.29,691,1.987
52.44,0.48,19.05,0.35,857,16.406
103.32,0.596,21.93,0.28,595,3.659
116.03,0.39,20.64,0.72,1555,38.503
140.09,0.576,22.82,0.29,599,8.129
366.25,0.341,46,0.69,1757,226.806
