AREA,BFIHOST,LDP,PROPWET,RMED-1D,SAAR,Index flood,predicted,,m1,m2,m3,m4,m5,m6,b,,RMSE1,RMSE2,,pred avg,ssres,sstot1,R^2,,MSRE1,MSRE2
0.145416043,0.530848329,0.255008264,0.252380952,0.310584958,0.147161572,0.111222681,0.125037569,,,,,,,,,,0.000190851,,,,,0.002596321,,,0.012207134,
0.107762129,0.322107969,0.15461157,0.506349206,0.688300836,0.65720524,0.116287635,0.151443574,,,,,,,,,,0.00123594,,,,,0.000602609,,,0.053888453,
0.135052581,0.508226221,0.197487603,0.442857143,0.389693593,0.246375546,0.121901393,0.146599312,,,,,,,,,,0.000609987,,,,,0.000863911,,,0.028382907,
0.134508237,0.676863753,0.230876033,0.188888889,0.350696379,0.138078603,0.113265989,0.099618998,,,,,,,,,,0.00018624,,,,,0.005832785,,,0.018766765,
0.103234657,0.732390746,0.125983471,0.303174603,0.425348189,0.25860262,0.100212752,0.084219602,,,,,,,,,,0.000255781,,,,,0.008422113,,,0.036061321,
0.148921127,0.255269923,0.221818182,0.392063492,0.366295265,0.182445415,0.181165387,0.170322295,,,,,,,,,,0.000117573,,,,,3.21418E-05,,,0.004052875,
0.133588785,0.256298201,0.186347107,0.722222222,0.628133705,0.516768559,0.330987686,0.211957011,,,,,,,,,,0.014168302,,,,,0.001293506,,,0.315371339,
0.147206096,0.410539846,0.238644628,0.684126984,0.356267409,0.25860262,0.176001306,0.196839347,,,,,,,,,,0.000434224,,,,,0.000434626,,,0.011207016,
0.101715031,0.131876607,0.112628099,0.633333333,0.579108635,0.570218341,0.11204629,0.172023483,,,,,,,,,,0.003597264,,,,,1.57465E-05,,,0.121561711,
0.177392734,0.274807198,0.29738843,0.607936508,0.471030641,0.383318777,0.315224679,0.225918625,,,,,,,,,,0.007975571,,,,,0.002492701,,,0.156263567,
0.319707154,0.381748072,0.383834711,0.70952381,0.393036212,0.351179039,0.233543937,0.348180167,,,,,,,,,,0.013141465,,,,,0.029648878,,,0.108401611,
0.13517122,0.29125964,0.23477686,0.595238095,0.488857939,0.410218341,0.195649861,0.186356105,,,,,,,,,,8.63739E-05,,,,,0.000107421,,,0.002487112,
0.131728945,0.371465296,0.188628099,0.557142857,0.344011142,0.304366812,0.14232319,0.16316571,,,,,,,,,,0.000434411,,,,,0.000164505,,,0.016317088,
0.169149071,0.469151671,0.269950413,0.341269841,0.386350975,0.26209607,0.170200986,0.163617252,,,,,,,,,,4.33456E-05,,,,,0.000153126,,,0.001619148,
0.137432339,0.483547558,0.190545455,0.303174603,0.406406685,0.207248908,0.140119109,0.132928037,,,,,,,,,,5.17115E-05,,,,,0.001854477,,,0.002926538,
0.675603118,0.349871465,0.595371901,0.29047619,0.394150418,0.219126638,0.356558249,0.595699107,,,,,,,,,,0.05718835,,,,,0.176154331,,,0.161158668,
0.239578744,0.34781491,0.314115702,0.201587302,0.323955432,0.131441048,0.150382793,0.212074609,,,,,,,,,,0.00380588,,,,,0.001301978,,,0.084620923,
0.103232912,0.357069409,0.120991736,0.455555556,0.419777159,0.322532751,0.115104603,0.129472156,,,,,,,,,,0.000206427,,,,,0.002164065,,,0.012314388,
0.49681245,0.401285347,0.506677686,0.633333333,0.432033426,0.317991266,0.592693089,0.490732977,,,,,,,,,,0.010395864,,,,,0.099062089,,,0.043168814,
0.105357945,0.253213368,0.127735537,0.722222222,0.769637883,0.756768559,0.11020969,0.187713306,,,,,,,,,,0.006006811,,,,,0.000137397,,,0.170472299,
